#Run,StartTime,StopTime,Delivered,Recorded
177053,2011-09-23 15:47:47.825510,2011-09-23 20:16:29.419366,40571837.1462,39189733.0075
177074,2011-09-24 12:39:40.146124,2011-09-24 17:20:48.326092,41348199.4912,40050663.327
177088,2011-09-24 22:06:30.787698,2011-09-24 22:23:14.012786,2738540.60226,2529861.85418
177095,2011-09-25 00:36:33.145194,2011-09-25 01:39:09.406570,10023258.8468,9290301.03529
177096,2011-09-25 01:40:15.027276,2011-09-25 02:53:44.551500,10490269.712,9823438.05027
177131,2011-09-25 13:10:36.408434,2011-09-25 13:48:19.497586,7070365.0995,6848870.47394
177138,2011-09-25 17:33:01.892319,2011-09-25 17:32:38.561503,5890546.7196,4329983.346
177139,2011-09-25 17:34:55.709351,2011-09-25 21:41:27.446695,39296361.6991,37416963.6642
177140,2011-09-25 21:42:16.413075,2011-09-26 01:24:18.309011,28069121.9971,26433833.2661
177141,2011-09-26 01:25:06.557256,2011-09-26 05:28:54.978888,25675724.826,25170237.9678
177182,2011-09-26 10:48:23.854280,2011-09-26 10:53:03.824072,1050145.81404,15.2607656103
177183,2011-09-26 10:54:12.897540,2011-09-26 12:20:09.007876,16732541.1554,15708602.2798
177184,2011-09-26 12:20:58.064440,2011-09-26 12:36:31.297080,2483895.43205,2253465.69669
177201,2011-09-26 15:43:23.781053,2011-09-26 20:33:28.569789,47183791.4283,46235124.8494
177222,2011-09-27 03:09:07.402645,2011-09-27 05:04:59.985813,20702989.5675,19973598.3252
177313,2011-09-28 02:36:57.213109,2011-09-28 02:36:33.882293,1055825.13764,530234.916502
177316,2011-09-28 02:50:10.007245,2011-09-28 02:53:16.653773,711998.351624,5654.46947942
177317,2011-09-28 02:54:15.198957,2011-09-28 03:18:45.040365,4910044.92607,4238364.81658
177318,2011-09-28 03:19:39.364155,2011-09-28 05:59:51.660347,27937654.0083,26621776.021
177319,2011-09-28 06:00:42.243223,2011-09-28 08:25:44.637591,20450137.6872,19968715.3862
177449,2011-09-29 00:54:52.575425,2011-09-29 04:00:21.374657,34685571.3425,27597386.7877
177452,2011-09-29 04:01:03.312632,2011-09-29 05:06:22.889720,9835562.30893,9484502.98906
177507,2011-09-29 18:00:50.715495,2011-09-29 18:52:10.383207,9936550.48408,9114006.66057
177509,2011-09-29 18:55:00.655765,2011-09-29 20:14:43.473045,14108024.7181,12842477.254
177515,2011-09-29 20:19:40.637713,2011-09-30 04:05:30.955281,60525695.8714,59336822.3221
177718,2011-10-01 20:01:19.371853,2011-10-02 06:25:02.000717,89996527.1251,86878176.8604
177719,2011-10-02 06:25:35.510423,2011-10-02 11:01:40.389783,25666534.0844,24972914.1319
177730,2011-10-02 16:44:21.422527,2011-10-03 07:26:15.713215,117961033.382,115815845.967
177776,2011-10-03 18:33:41.338055,2011-10-03 18:49:14.570695,3047074.82468,2869330.52396
177782,2011-10-03 21:56:54.888636,2011-10-03 23:03:24.458172,13268850.1438,11564246.2782
177783,2011-10-03 23:04:23.254829,2011-10-04 01:34:28.949805,25391302.7568,23190172.149
177785,2011-10-04 01:35:27.880622,2011-10-04 01:56:27.744686,3185557.43284,13866.9458641
177786,2011-10-04 01:57:26.706669,2011-10-04 02:48:46.374381,7418050.62454,129806.060442
177788,2011-10-04 02:49:51.423450,2011-10-04 03:23:41.204442,4709294.62179,2311557.1227
177789,2011-10-04 03:24:39.395151,2011-10-04 04:03:32.476751,5195525.90707,3908054.35342
177790,2011-10-04 04:04:39.050955,2011-10-04 08:45:00.569291,32017730.0753,31214746.6295
177791,2011-10-04 08:45:47.849339,2011-10-04 10:10:33.967227,8286393.64358,8010609.15622
177875,2011-10-04 18:36:13.217565,2011-10-04 22:02:41.880861,36012878.7204,34708989.8069
177878,2011-10-04 22:03:29.362739,2011-10-05 03:33:13.894707,41352661.3443,40694298.3055
178003,2011-10-07 03:23:30.678528,2011-10-07 03:38:17.249536,60387.6598876,4372.6126474
178004,2011-10-07 03:39:15.937706,2011-10-07 06:16:44.918186,592249.316398,588001.772616
178078,2011-10-08 02:33:04.860586,2011-10-08 03:10:24.618922,7789484.33846,6061910.77726
178098,2011-10-08 09:41:38.513539,2011-10-08 14:17:20.062083,48583527.6738,46312402.0239
178099,2011-10-08 14:17:59.619457,2011-10-08 15:43:55.729793,12220109.2268,10171249.8419
178100,2011-10-08 15:45:05.144396,2011-10-09 02:18:54.374476,66490137.8436,64998975.3996
